number,time,duration,x,y,avg_dilation
1,172,120,721,344,0.296966245
2,491,100,709,360,0.320966245
3,790,100,680,432,0.121966245
4,930,140,679,439,0.209466245
5,1169,100,668,428,0.187966245
6,1628,219,569,1012,0.420966245
7,3063,100,163,301,0.130033755
8,3183,199,186,369,0.088466245
9,3462,279,389,333,0.033466245
34,13331,439,948,677,0.248033755
35,13830,180,949,679,0.282533755
91,33049,100,1201,-41,0.509033755
92,33189,438,1247,55,0.569033755
93,34365,160,586,272,0.409033755
94,34684,219,876,295,0.393033755
95,34943,299,1043,290,0.481033755
96,35322,179,1101,831,0.294533755
97,35522,219,1107,799,0.313033755
98,35920,339,1111,886,0.168033755
99,36459,359,1098,809,0.137033755
100,36837,100,1077,787,0.101966245
103,38074,279,279,189,0.276033755
104,38472,120,909,700,0.210966245
105,38692,100,950,697,0.204466245
106,38911,937,943,766,0.285466245
107,39928,120,929,652,0.199466245
108,40167,439,934,684,0.262466245
109,40626,219,987,676,0.289466245
110,40865,140,1016,691,0.170966245
111,41024,379,1021,681,0.195966245
112,41463,279,973,764,0.185966245
113,41762,538,971,687,0.248466245
114,42320,359,969,690,0.146466245
115,42699,279,980,650,0.249966245
116,42998,439,948,618,0.327466245
117,43576,160,897,689,0.251966245
118,43856,219,913,732,0.133466245
119,44194,578,1035,745,0.155466245
120,44793,179,1016,755,0.236966245
123,45670,479,277,186,0.204533755
124,46726,140,1022,765,0.228966245
125,46886,199,1018,762,0.303966245
126,47365,179,290,589,0.195966245
127,47604,239,282,209,0.218533755
128,47903,339,71,186,0.158033755
129,48361,379,1010,728,0.331966245
130,48760,239,1035,736,0.339966245
131,49019,239,925,675,0.383966245
132,49278,459,935,672,0.516466245
133,49777,219,1015,733,0.385966245
134,50076,299,1008,761,0.446466245
135,50415,518,988,706,0.359966245
136,51053,718,1011,752,0.620466245
137,52070,120,875,655,0.621966245
138,52309,259,407,727,0.392466245
139,52748,199,390,245,0.215033755
140,52987,399,245,201,0.235033755
141,53545,199,306,194,0.129033755
142,53844,120,399,627,0.367966245
143,54044,100,415,745,0.264966245
144,54343,160,1022,754,0.211466245
145,54542,259,1020,745,0.340966245
146,54921,139,1040,733,0.448966245
147,55120,359,952,690,0.404466245
148,55698,140,992,659,0.741966245
149,55878,379,998,762,0.455466245
150,56297,179,1002,752,0.313466245
151,56954,180,973,676,0.289966245
152,57154,279,1008,671,0.285966245
153,57453,498,929,733,0.389466245
154,57971,259,983,764,0.378966245
155,58270,160,1015,663,0.365966245
156,58589,139,1023,761,0.400466245
157,58848,219,1045,758,0.494466245
158,59367,239,998,742,0.802466245
159,59845,120,1004,756,0.318966245
160,60085,219,980,684,0.321466245
161,60344,658,1008,674,0.329966245
162,61321,139,440,689,0.446466245
163,61480,259,410,727,0.309966245
164,61759,239,409,716,0.120466245
165,62078,319,450,707,0.070033755
166,62437,817,518,689,0.136533755
167,63574,100,508,694,0.134033755
168,63873,100,605,644,0.193533755
169,64052,199,576,641,0.135533755
170,64351,180,989,737,0.144033755
171,64551,399,1035,753,0.259966245
172,65009,140,925,759,0.321466245
173,65348,239,550,744,0.199466245
174,65647,199,533,685,0.044033755
175,65866,399,601,728,0.142966245
176,66285,179,627,724,0.104466245
177,66544,140,461,765,0.148466245
