time,number,avg_dilation
13,1,0.2654662447257361
73,4,0.1689662447257363
93,5,0.2674662447257359
113,6,0.21046624472573594
133,7,0.2469662447257357
153,8,0.2934662447257361
172,9,0.20246624472573593
192,10,0.20646624472573594
212,11,0.15496624472573606
232,12,0.2969662447257355
252,13,0.2954662447257359
272,14,0.27946624472573633
292,15,0.24496624472573592
312,16,0.26146624472573565
332,17,0.4144662447257361
352,18,0.4059662447257364
372,19,0.26896624472573594
392,20,0.2869662447257362
412,21,0.27396624472573583
432,22,0.45696624472573655
452,23,0.4714662447257356
471,24,0.5334662447257359
491,25,0.2519662447257356
511,26,0.2369662447257359
531,27,0.3209662447257364
551,28,0.29296624472573596
571,29,0.1299662447257357
591,30,0.16946624472573601
611,31,0.13946624472573577
631,32,0.18046624472573614
651,33,0.17796624472573574
671,34,0.06046624472573603
691,35,0.1909662447257361
711,36,0.15696624472573584
731,37,0.07496624472573599
751,38,0.14646624472573633
771,39,0.30596624472573586
790,40,0.05146624472573613
810,41,0.06546624472573592
830,42,0.10146624472573595
850,43,0.08996624472573567
870,44,0.12196624472573614
890,45,0.10946624472573552
910,46,0.06346624472573614
930,47,0.031466244725736114
950,48,0.027966244725736278
970,49,0.15746624472573645
990,50,0.06946624472573637
1010,51,0.14596624472573572
1030,52,0.2069662447257361
1050,53,0.18646624472573592
1070,54,0.20946624472573605
1090,55,0.18696624472573609
1110,56,0.1849662447257363
1129,57,0.16296624472573606
1149,58,0.14346624472573577
1169,59,0.18796624472573642
1189,60,0.14346624472573621
1209,61,0.15646624472573611
1229,62,0.1354662447257362
1249,63,0.14796624472573594
1269,64,0.16296624472573606
1289,65,0.18846624472573614
1309,66,0.10346624472573618
1329,67,0.19096624472573565
1349,68,0.1649662447257363
1369,69,0.08996624472573567
1389,70,0.1284662447257361
1409,71,0.165466244725736
1429,72,0.16796624472573596
1448,73,0.20096624472573632
1468,74,0.17296624472573585
1488,75,0.14346624472573621
1508,76,0.13996624472573593
1528,77,0.20846624472573616
1548,78,0.1874662447257358
1568,79,0.18146624472573603
1588,80,0.16796624472573596
1608,81,0.20646624472573594
1628,82,0.2209662447257359
1648,83,0.12146624472573597
1668,84,0.1664662447257359
1688,85,0.11296624472573624
1708,86,0.21846624472573595
1728,87,0.2914662447257359
1748,88,0.16496624472573584
1767,89,0.16046624472573612
1787,90,0.22246624472573595
1807,91,0.20196624472573577
1827,92,0.4209662447257352
1847,93,0.23896624472573613
1867,94,0.33746624472573616
1887,95,0.2854662447257361
3024,152,0.07353375527426387
3043,153,0.00696624472573637
3063,154,0.06453375527426397
3083,155,0.07953375527426365
3103,156,0.08103375527426415
3123,157,0.12953375527426392
3143,158,0.13003375527426408
3163,159,0.05203375527426379
3183,160,0.015033755274263871
3203,161,0.0884662447257365
3223,162,0.006533755274264141
3243,163,0.03496624472573595
3263,164,0.01296624472573571
3283,165,0.0024662447257361997
3303,166,0.04946624472573591
3323,167,0.011533755274264035
3342,168,0.0055337552742642515
3362,169,0.007966244725735816
3382,170,0.05053375527426418
3402,171,0.022033755274263545
3422,172,0.008466244725735983
3442,173,0.016966244725735713
3462,174,0.018966244725735937
3482,175,0.015966244725735823
3502,176,0.00896624472573615
3522,177,0.033466244725735894
3542,178,0.007033755274263864
13351,659,0.18653375527426386
13371,660,0.24803375527426352
13391,661,0.18203375527426413
13411,662,0.24403375527426396
13431,663,0.19353375527426397
13451,664,0.2425337552742639
13471,665,0.209533755274264
13491,666,0.1355337552742637
13511,667,0.1435337552742637
13531,668,0.1970337552742638
13551,669,0.1985337552742643
13570,670,0.21803375527426416
13590,671,0.213533755274264
13610,672,0.2240337552742635
13630,673,0.23803375527426374
13650,674,0.19603375527426392
13670,675,0.1340337552742641
13690,676,0.21103375527426405
13710,677,0.17853375527426385
13730,678,0.03296624472573573
13750,679,0.16553375527426395
13770,680,0.16853375527426406
13790,681,0.17353375527426396
13810,682,0.15353375527426394
13850,684,0.19753375527426398
13869,685,0.2385337552742639
13889,686,0.10903375527426373
13909,687,0.06453375527426397
13949,689,0.221533755274264
13969,690,0.2220337552742646
13989,691,0.28053375527426416
14009,692,0.28253375527426394
32950,1642,0.24353375527426424
32970,1643,0.32653375527426354
32990,1644,0.318533755274264
33009,1645,0.40353375527426394
33029,1646,0.4150337552742642
33049,1647,0.4060337552742639
33069,1648,0.4765337552742639
33089,1649,0.44953375527426376
33109,1650,0.4535337552742642
33129,1651,0.5045337552742644
33149,1652,0.5090337552742641
33169,1653,0.48803375527426374
33189,1654,0.5690337552742637
33209,1655,0.5330337552742637
33229,1656,0.5470337552742643
33249,1657,0.46603375527426394
33269,1658,0.5350337552742643
33289,1659,0.5550337552742639
33309,1660,0.4880337552742642
33329,1661,0.49103375527426385
33348,1662,0.4895337552742638
33368,1663,0.49853375527426413
33388,1664,0.4770337552742636
33408,1665,0.49953375527426447
33428,1666,0.47253375527426345
33448,1667,0.4565337552742639
33468,1668,0.45003375527426437
33488,1669,0.503533755274264
33508,1670,0.42653375527426407
33528,1671,0.41003375527426345
33548,1672,0.45703375527426404
33568,1673,0.4535337552742642
33588,1674,0.4645337552742643
33608,1675,0.48853375527426435
33628,1676,0.4740337552742644
33648,1677,0.43953375527426397
33667,1678,0.47503375527426384
33687,1679,0.5815337552742643
33707,1680,0.4085337552742643
33727,1681,0.3655337552742641
34026,1684,0.11903375527426396
34046,1685,0.08503375527426416
34066,1686,0.07253375527426398
34086,1687,0.03603375527426378
34106,1688,0.18153375527426396
34126,1689,0.2370337552742643
34146,1690,0.08203375527426404
34186,1692,0.23503375527426362
34206,1693,0.30353375527426385
34226,1694,0.385033755274264
34246,1695,0.35503375527426373
34266,1696,0.4120337552742641
34286,1697,0.30653375527426396
34305,1698,0.3615337552742637
34325,1699,0.35203375527426406
34345,1700,0.4470337552742638
34365,1701,0.34503375527426394
34385,1702,0.3575337552742641
34405,1703,0.401033755274264
34425,1704,0.3285337552742642
34445,1705,0.409033755274264
34465,1706,0.30353375527426385
34485,1707,0.3045337552742642
34505,1708,0.3130337552742639
34525,1709,0.27803375527426377
34545,1710,0.31953375527426386
34565,1711,0.2660337552742642
34585,1712,0.2860337552742638
34605,1713,0.27803375527426377
34624,1714,0.3460337552742643
34644,1715,0.26503375527426387
34664,1716,0.29753375527426407
34684,1717,0.393033755274264
34704,1718,0.07653375527426398
34724,1719,0.10853375527426357
34744,1720,0.07553375527426409
34764,1721,0.1760337552742639
34784,1722,0.24053375527426413
34804,1723,0.07253375527426398
34824,1724,0.1745337552742643
34844,1725,0.08553375527426432
34864,1726,0.24953375527426402
34884,1727,0.33603375527426405
34904,1728,0.2515337552742638
34924,1729,0.15653375527426405
34943,1730,0.18403375527426435
34963,1731,0.21203375527426394
34983,1732,0.28753375527426384
35003,1733,0.26703375527426365
35023,1734,0.23253375527426412
35043,1735,0.2085337552742641
35063,1736,0.26653375527426393
35083,1737,0.3485337552742638
35103,1738,0.32903375527426393
35123,1739,0.3355337552742639
35143,1740,0.48103375527426406
35163,1741,0.35803375527426384
35183,1742,0.3985337552742636
35203,1743,0.3095337552742641
35223,1744,0.37953375527426436
35243,1745,0.40553375527426416
35262,1746,0.393033755274264
35282,1747,0.3280337552742645
35302,1748,0.2500337552742642
35322,1749,0.26703375527426365
35342,1750,0.22253375527426345
35362,1751,0.22203375527426372
35382,1752,0.28253375527426394
35402,1753,0.2525337552742637
35422,1754,0.22703375527426406
35442,1755,0.20653375527426432
35462,1756,0.28303375527426367
35482,1757,0.29453375527426395
35502,1758,0.2750337552742641
35522,1759,0.2860337552742638
35542,1760,0.22553375527426356
35561,1761,0.3130337552742639
35581,1762,0.23903375527426363
35601,1763,0.17753375527426352
35621,1764,0.19953375527426376
35641,1765,0.0050337552742636404
35661,1766,0.15053375527426427
35681,1767,0.16853375527426406
35701,1768,0.24053375527426413
35721,1769,0.054533755274264184
35741,1770,0.11253375527426401
35761,1771,0.1500337552742641
35781,1772,0.22503375527426384
35801,1773,0.26203375527426376
35821,1774,0.1305337552742638
35841,1775,0.21553375527426377
35861,1776,0.16453375527426406
35880,1777,0.16303375527426445
35900,1778,0.12953375527426436
35920,1779,0.10103375527426417
35940,1780,0.033033755274263665
35960,1781,0.15153375527426372
35980,1782,0.10753375527426412
36000,1783,0.1320337552742643
36020,1784,0.07903375527426393
36040,1785,0.0875337552742641
36060,1786,0.11653375527426402
36080,1787,0.06553375527426386
36100,1788,0.07653375527426354
36120,1789,0.09053375527426377
36140,1790,0.1680337552742639
36160,1791,0.002033755274263971
36180,1792,0.04253375527426373
36199,1793,0.042033755274264006
36219,1794,0.03196624472573584
36239,1795,0.04053375527426395
36259,1796,0.1460337552742641
36279,1797,0.050533755274263736
36299,1798,0.0915337552742641
36319,1799,0.07403375527426403
36339,1800,0.15953375527426372
36359,1801,0.011033755274263868
36379,1802,0.1720337552742639
36399,1803,0.09203375527426427
36419,1804,0.007466244725736093
36439,1805,0.059033755274264355
36459,1806,0.1370337552742642
36479,1807,0.03903375527426389
36499,1808,0.09603375527426383
36518,1809,0.035533755274264056
36538,1810,0.11953375527426369
36558,1811,0.03653375527426439
36578,1812,0.09703375527426417
36598,1813,0.08003375527426382
36618,1814,0.056533755274263964
36638,1815,0.022533755274264156
36658,1816,0.03196624472573584
36678,1817,0.03503375527426433
36698,1818,0.01346624472573632
36718,1819,0.08603375527426405
36738,1820,0.02746624472573611
36758,1821,0.08103375527426371
