,time,event,event_key,data1,data2,description
166,413631,LMouseButton,1,59,715,
167,414498,LMouseButton,1,66,713,
168,424926,LMouseButton,1,43,610,
169,426591,LMouseButton,1,40,596,
170,427179,LMouseButton,1,40,596,
171,427797,LMouseButton,1,42,587,
172,430240,LMouseButton,1,61,611,
173,431067,LMouseButton,1,63,597,
174,432094,LMouseButton,1,62,597,
175,434666,LMouseButton,1,63,626,
176,438675,LMouseButton,1,697,582,
177,442521,LMouseButton,1,698,570,
178,448922,LMouseButton,1,458,212,
179,450258,LMouseButton,1,610,212,
180,451484,LMouseButton,1,570,242,
181,456868,LMouseButton,1,790,641,
182,460526,LMouseButton,1,722,614,
183,463368,LMouseButton,1,607,213,
184,464375,LMouseButton,1,576,213,
185,465182,LMouseButton,1,604,213,
186,465591,LMouseButton,1,618,213,
187,465731,LMouseButton,1,618,213,
188,466379,LMouseButton,1,628,211,
189,466538,LMouseButton,1,628,211,
190,467988,Keyboard,3,8,0,
191,468478,LMouseButton,1,563,209,
192,468827,LMouseButton,1,562,209,
193,469186,LMouseButton,1,559,210,
194,469346,LMouseButton,1,559,210,
195,469635,LMouseButton,1,559,210,
196,470567,Keyboard,3,160,0,LShiftKey
197,470764,Keyboard,3,78,0,N
198,471318,Keyboard,3,79,0,o
199,472496,LMouseButton,1,525,233,
200,480750,LMouseButton,1,40,577,
201,484558,LMouseButton,1,39,551,
202,485535,LMouseButton,1,39,551,
203,487778,LMouseButton,1,79,627,
204,489682,LMouseButton,1,720,804,
205,501755,LMouseButton,1,450,229,
206,502354,LMouseButton,1,454,229,
207,502962,LMouseButton,1,479,228,
208,503241,LMouseButton,1,479,228,
209,503500,LMouseButton,1,479,228,
210,504290,Keyboard,3,160,0,LShiftKey
211,504774,Keyboard,3,89,0,Y
212,506421,Keyboard,3,69,0,e
213,506634,Keyboard,3,83,0,s
214,507149,LMouseButton,1,478,248,
215,513131,LMouseButton,1,67,549,
216,516849,LMouseButton,1,680,549,
217,517976,LMouseButton,1,677,537,
218,520499,LMouseButton,1,724,590,
219,521486,LMouseButton,1,694,594,
220,522134,LMouseButton,1,694,594,
221,523779,LMouseButton,1,40,553,
222,524886,LMouseButton,1,39,553,
223,526431,LMouseButton,1,694,596,
224,531615,LMouseButton,1,694,596,
225,534267,LMouseButton,1,609,247,
226,535055,LMouseButton,1,580,269,
227,547078,LMouseButton,1,36,552,
228,547846,LMouseButton,1,37,552,
229,548953,LMouseButton,1,40,584,
230,549222,LMouseButton,1,41,584,
231,549880,LMouseButton,1,41,598,
232,550458,LMouseButton,1,41,598,
233,551007,LMouseButton,1,41,610,
234,554755,LMouseButton,1,94,712,
235,555303,LMouseButton,1,57,708,
236,555862,LMouseButton,1,63,708,
237,558733,LMouseButton,1,680,535,
238,559869,LMouseButton,1,677,600,
239,564356,LMouseButton,1,722,625,
240,565133,LMouseButton,1,697,632,
241,567726,LMouseButton,1,68,714,
242,574854,LMouseButton,1,65,714,
243,576300,LMouseButton,1,459,258,
244,577426,LMouseButton,1,498,253,
245,577905,LMouseButton,1,496,249,
246,578194,LMouseButton,1,496,248,
