time,number,avg_dilation
61,4,0.17053375527426384
81,5,0.16553375527426395
101,6,0.12203375527426408
121,7,0.10153375527426389
160,9,0.19003375527426414
180,10,0.1380337552742641
200,11,0.07403375527426403
220,12,0.04303375527426345
260,14,0.14953375527426394
280,15,0.0730337552742637
300,16,0.1135337552742639
320,17,0.12603375527426364
340,18,0.06346624472573614
360,19,0.015533755274264038
380,20,0.056533755274263964
400,21,0.09903375527426395
420,22,0.10403375527426428
440,23,0.09353375527426389
459,24,0.09803375527426406
479,25,0.09303375527426416
499,26,0.11403375527426407
519,27,0.10253375527426423
539,28,0.12703375527426397
559,29,0.11053375527426379
579,30,0.1175337552742639
599,31,0.11553375527426413
619,32,0.11203375527426429
639,33,0.26153375527426403
659,34,0.18803375527426391
679,35,0.21603375527426394
699,36,0.1770337552742638
719,37,0.16353375527426417
739,38,0.15303375527426422
759,39,0.2515337552742638
778,40,0.25303375527426386
798,41,0.22803375527426395
818,42,0.2165337552742641
838,43,0.3215337552742641
858,44,0.32753375527426387
878,45,0.308033755274264
898,46,0.33503375527426416
918,47,0.3285337552742642
938,48,0.31103375527426413
958,49,0.32003375527426403
978,50,0.34253375527426444
998,51,0.27003375527426376
1018,52,0.28303375527426367
1038,53,0.3025337552742644
1058,54,0.3405337552742642
1078,55,0.370533755274264
1097,56,0.3405337552742642
1117,57,0.3540337552742643
1137,58,0.29853375527426396
1157,59,0.3260337552742638
1177,60,0.3135337552742641
1197,61,0.316033755274264
1217,62,0.3205337552742642
1237,63,0.3050337552742639
1257,64,0.264033755274264
1277,65,0.2595337552742638
1297,66,0.2915337552742643
1317,67,0.2750337552742641
1337,68,0.26253375527426437
1357,69,0.260033755274264
1377,70,0.23103375527426406
1397,71,0.2240337552742644
1417,72,0.233533755274264
1436,73,0.28953375527426406
1456,74,0.27553375527426427
1476,75,0.1825337552742643
1496,76,0.29953375527426385
1516,77,0.2710337552742641
1716,87,0.3095337552742641
1735,88,0.31953375527426386
1775,90,0.048966244725736185
1795,91,0.050533755274263736
1815,92,0.21203375527426394
1835,93,0.2505337552742639
1855,94,0.19403375527426414
1875,95,0.163033755274264
1895,96,0.1680337552742639
1915,97,0.18803375527426391
1935,98,0.209533755274264
1975,100,0.10203375527426362
1995,101,0.04053375527426395
2015,102,0.06646624472573626
2034,103,0.0519662447257363
2054,104,0.3149662447257362
