number,time,duration,screen_x,secrren_y
287,105383,120,345,643
288,105542,160,337,669
289,105781,120,452,619
290,105941,379,440,621
291,106419,140,422,629
292,106619,199,422,604
293,107077,100,500,668
294,107396,179,481,666
295,107795,279,424,733
296,125998,160,374,666
297,127274,159,507,537
298,127453,160,527,547
299,127932,259,498,531
300,128630,100,342,502
301,128809,199,354,486
302,129866,159,570,541
303,130903,160,371,508
304,131401,179,450,525
305,131660,140,307,508
306,132837,379,425,414
307,133315,100,435,409
308,134491,219,403,423
309,136984,160,430,618
310,138359,120,364,581
311,138838,140,330,605
312,139416,120,402,587
313,139655,179,363,594
314,143164,140,559,567
315,144520,100,478,701
316,144839,140,529,661
317,145836,159,589,580
318,146494,199,457,650
319,150242,100,640,731
320,150521,179,600,738
321,160629,140,683,561
322,162324,259,642,631
323,162862,120,528,712
324,201980,120,892,589
325,202119,179,888,584
326,202777,140,971,472
327,202977,100,916,494
328,203116,120,966,489
329,203495,179,1042,472
330,203694,140,1001,586
331,203894,399,1060,574
332,204432,479,1020,635
333,205529,120,893,600
334,207562,219,885,610
335,207801,100,887,613
336,207921,140,888,604
337,208120,120,884,567
338,208300,160,873,588
339,208659,140,878,625
340,209556,180,846,643
341,210054,179,802,562
342,210493,259,879,506
343,210792,179,823,674
344,211071,100,854,674
345,211570,100,962,685
346,211689,179,946,694
347,212108,120,798,639
348,212467,159,799,592
349,213304,100,893,516
350,213424,160,892,522
351,213663,179,1010,470
352,213862,120,945,467
353,214062,179,932,475
354,214261,100,1001,472
355,214520,259,1068,481
356,214839,159,885,478
357,215198,199,849,383
358,215517,120,864,343
359,215657,179,906,439
360,215856,219,846,438
361,216155,219,837,479
362,216394,140,840,483
363,218049,219,934,553
364,218289,279,914,565
365,218588,100,994,560
366,218747,120,988,564
367,219086,100,907,581
368,219285,219,983,460
369,219545,359,938,384
370,220023,179,1051,432
371,220223,140,1006,435
372,220382,239,1016,515
373,220641,319,1006,514
374,220980,319,977,523
375,221319,140,991,527
376,221578,439,980,539
377,222994,140,896,494
378,223293,160,947,488
379,223612,239,844,517
380,223891,100,866,512
381,224011,160,883,560
382,224689,199,941,511
383,227001,319,997,541
384,227400,100,940,525
385,227520,259,942,508
386,227998,179,926,493
387,228197,339,1000,494
388,228636,199,1070,491
389,228855,180,1024,441
390,229055,219,846,524
391,229294,120,860,518
392,229713,119,885,556
393,229952,120,886,566
394,230231,100,849,483
395,230351,259,850,475
396,230630,140,857,465
397,230949,120,940,500
398,231148,120,861,438
399,231447,140,879,426
400,231627,239,961,405
401,232205,259,1059,446
402,232504,239,1049,445
403,233002,239,894,481
404,233262,140,915,519
405,233421,160,932,507
406,234617,120,1391,498
407,234797,139,1387,496
408,235056,140,1251,459
409,235335,160,1315,390
