number,time,duration,screen_x,secrren_y
290,97316,379,713,565
291,97715,179,719,563
292,97914,120,721,570
293,98053,379,680,569
294,98452,419,728,550
295,98891,159,701,521
296,99070,359,714,517
297,99449,219,716,531
298,99708,140,652,513
299,99948,299,700,513
300,100506,180,688,507
301,100705,419,669,519
302,101244,379,704,540
303,101842,817,704,535
304,102679,239,700,555
305,102958,120,705,564
306,103138,120,700,584
307,103377,558,661,580
308,104035,100,712,616
309,104234,239,738,610
310,104493,140,689,585
311,104732,100,93,572
312,104892,120,21,577
313,105032,279,40,590
314,105610,159,44,605
315,105789,638,25,606
316,106706,379,83,635
317,107125,179,767,590
318,107324,159,708,592
319,107504,180,742,593
320,107703,100,809,615
321,108042,498,93,621
322,108561,239,77,647
323,108820,259,101,675
324,109099,339,92,675
325,109717,140,706,617
326,109877,518,736,641
327,110435,160,724,613
328,110614,339,823,616
329,111013,140,740,618
330,111332,120,101,633
331,111471,120,78,708
332,111611,100,82,706
333,111731,459,91,674
334,112209,219,95,664
335,112608,140,786,632
336,112767,120,733,653
337,113027,120,735,637
338,113166,219,778,640
339,113545,180,748,637
340,113804,100,771,633
341,113964,339,739,655
342,114422,120,809,645
343,114721,259,734,609
344,115020,199,834,589
345,115519,179,738,619
346,115838,379,728,682
347,116356,578,708,583
348,116954,179,693,526
349,117193,219,693,497
350,117512,319,728,521
351,117891,299,761,643
352,118210,259,732,655
353,118489,179,763,697
354,118689,299,725,686
355,119785,179,747,605
356,120005,379,841,585
357,120423,379,722,588
358,120982,199,742,552
359,121480,279,735,536
360,121779,180,737,520
361,121978,279,718,647
362,122278,419,723,594
363,122876,179,99,664
364,123075,219,82,677
365,123314,239,88,623
366,123673,179,794,612
367,123932,359,734,619
368,124311,239,741,610
369,124690,120,846,616
370,124889,100,160,656
371,125069,678,87,650
372,126145,259,95,691
373,126425,279,83,711
374,126783,120,85,711
375,126923,180,60,700
376,127162,159,747,663
377,127342,100,723,639
378,127541,359,727,628
379,127980,140,735,616
380,128319,199,834,597
381,128578,120,766,592
382,128777,180,722,674
383,129056,180,730,652
384,129256,140,724,653
385,129415,180,812,640
386,129654,100,757,643
387,129834,219,105,705
388,130113,299,80,732
389,130552,140,138,728
390,130711,877,67,730
391,131608,219,48,710
392,131848,140,99,714
393,132007,200,99,710
394,132306,219,119,740
395,132545,140,117,767
396,132705,100,62,650
397,132924,498,92,646
398,133901,219,84,658
399,134140,120,88,629
400,134400,159,75,616
401,134599,419,101,639
402,135117,339,86,668
403,135476,219,93,698
404,135935,219,87,758
405,136174,419,94,748
406,136613,339,101,756
407,136971,379,95,733
408,137889,558,93,647
409,138726,438,728,616
410,139185,219,711,636
411,139524,139,736,632
412,139723,180,784,625
413,140082,179,729,658
414,140361,239,94,641
415,140660,120,72,616
416,140899,140,750,526
417,141059,279,675,462
418,141557,219,225,183
419,141856,239,436,188
420,142155,319,560,201
421,142494,957,593,203
422,143491,239,448,197
423,143750,479,493,247
424,144249,379,448,188
425,144767,179,97,247
426,144966,957,61,228
427,145943,798,59,229
428,146781,538,252,221
429,147339,319,240,222
430,147678,339,268,219
431,148057,219,54,235
432,148495,159,33,565
433,148675,259,15,515
434,149094,219,24,610
435,149333,140,23,608
436,149572,140,75,609
437,149731,299,39,570
438,150050,259,46,575
439,150330,180,10,548
440,150649,259,62,547
441,151067,359,41,601
442,151446,299,71,579
443,151765,538,32,585
444,152323,678,81,613
445,153141,459,44,629
446,153619,538,113,647
447,154217,199,116,663
448,154457,140,114,637
449,154616,179,75,625
450,154835,259,699,554
451,155135,219,671,579
452,155533,299,708,558
453,155952,259,652,571
454,156231,120,685,572
455,156410,279,709,585
456,156829,558,701,544
457,157467,518,661,527
458,158006,219,705,565
459,158265,219,742,542
460,158604,179,782,534
461,158863,239,683,542
462,159122,120,689,559
463,159301,219,756,578
464,159959,219,82,614
465,160219,180,117,639
466,160757,140,115,646
467,160956,160,120,665
468,161415,339,742,599
469,161774,419,744,594
470,162212,1914,744,591
471,164465,140,67,582
472,164625,419,70,572
473,165063,219,35,546
474,165303,279,61,535
475,165662,339,709,537
476,166020,279,670,498
477,166320,219,717,471
478,166738,459,736,552
479,167276,120,712,538
480,167416,140,713,523
481,167576,219,735,540
482,167914,279,80,554
483,168213,180,60,583
484,168413,179,59,581
485,168712,379,72,571
486,169111,518,90,598
487,169669,120,153,596
488,169808,299,105,618
489,170127,259,86,603
490,170407,140,135,610
491,170706,399,100,630
492,171124,180,89,648
493,171643,100,120,636
494,171762,837,122,651
495,172620,319,106,643
496,173337,638,86,628
497,173995,219,147,619
498,174235,100,45,557
499,174354,279,45,561
500,174653,618,122,616
501,175291,379,124,656
502,175690,319,108,666
503,176029,120,153,681
504,176228,140,657,582
505,176428,399,729,570
506,177066,219,750,574
507,177305,718,731,556
508,178043,199,721,589
509,178302,239,760,582
510,178661,180,871,586
511,178900,159,821,580
512,179139,239,732,592
513,179558,219,705,589
514,179797,219,676,545
515,180216,159,762,533
516,180395,299,703,535
517,180794,738,749,555
518,181552,379,747,598
519,182030,339,760,568
520,182489,119,139,665
521,182628,140,92,666
522,182788,279,103,639
523,183187,199,774,570
524,183406,159,749,583
525,183705,159,859,592
526,183884,538,749,590
527,184443,419,741,608
528,184981,279,93,638
529,185280,100,116,681
530,185519,857,107,665
531,186516,239,733,591
532,186775,339,751,632
533,187373,518,109,657
534,188031,160,91,661
535,188211,239,112,637
536,188530,120,713,673
537,188789,179,759,628
538,189068,219,119,669
539,189407,239,117,644
540,189706,199,807,588
541,189926,159,741,573
542,190264,100,274,293
543,190464,120,491,194
544,190603,179,430,206
545,190823,1715,583,228
546,192657,279,508,259
547,192956,518,426,235
548,193554,777,51,245
549,194392,160,396,256
550,194571,259,424,235
551,194870,299,40,243
552,195249,199,431,222
553,195687,140,421,479
554,195887,339,11,540
555,196305,219,28,588
556,196644,179,62,570
557,196963,359,59,568
558,197402,917,677,539
559,198339,678,661,530
560,199097,179,711,535
561,199456,160,89,528
562,199775,199,37,537
563,199994,160,39,544
564,200353,160,50,610
565,200692,120,20,591
566,200851,100,13,587
567,200971,239,79,581
568,201230,100,56,558
569,201689,578,65,577
570,202287,279,4,580
571,202586,399,38,590
572,203084,120,172,259
573,203224,139,238,236
574,203383,977,52,247
575,204420,159,81,649
576,204599,160,88,606
577,204779,279,42,571
