,time,event,event_key,data1,data2,description
166,495376,LMouseButton,1,661,461,
167,500381,LMouseButton,1,644,377,
168,503242,LMouseButton,1,596,298,
169,504767,LMouseButton,1,540,391,
170,505415,LMouseButton,1,550,396,
171,508934,LMouseButton,1,550,393,
172,510668,LMouseButton,1,460,367,
173,512273,LMouseButton,1,396,434,
174,512852,LMouseButton,1,394,434,
175,514227,LMouseButton,1,466,366,
176,515244,LMouseButton,1,647,369,
177,526110,LMouseButton,1,476,411,
178,531404,LMouseButton,1,482,413,
179,538182,LMouseButton,1,400,466,
180,539658,LMouseButton,1,431,376,
181,540854,LMouseButton,1,511,345,
182,542270,LMouseButton,1,597,322,
183,545313,LMouseButton,1,407,553,
184,546311,LMouseButton,1,412,650,
185,547015,LMouseButton,1,410,650,
186,552388,LMouseButton,1,611,560,
187,553036,LMouseButton,1,618,560,
188,558151,LMouseButton,1,762,491,
189,559088,LMouseButton,1,760,492,
190,560454,LMouseButton,1,738,670,
191,560823,LMouseButton,1,726,670,
192,561750,LMouseButton,1,726,670,
193,563734,LMouseButton,1,545,631,
194,565578,LMouseButton,1,612,700,
195,572447,LMouseButton,1,706,713,
196,575438,LMouseButton,1,705,712,
197,577661,LMouseButton,1,550,764,
198,581787,LMouseButton,1,475,694,
199,586652,LMouseButton,1,530,624,
200,591826,LMouseButton,1,522,620,
201,595117,LMouseButton,1,537,192,
202,597478,LMouseButton,1,1038,337,
203,598895,LMouseButton,1,1110,243,
204,599312,LMouseButton,1,1087,236,
205,609221,LMouseButton,1,757,145,
206,623575,LMouseButton,1,1090,391,
207,628759,LMouseButton,1,757,512,
208,633484,LMouseButton,1,678,215,
209,639744,LMouseButton,1,836,711,
210,642037,LMouseButton,1,796,729,
211,645555,LMouseButton,1,796,729,
212,651068,LMouseButton,1,755,718,
213,653709,LMouseButton,1,728,644,
214,654457,LMouseButton,1,727,643,
215,655993,LMouseButton,1,751,722,
216,666470,LMouseButton,1,725,587,
217,671396,LMouseButton,1,606,262,
218,678174,LMouseButton,1,792,545,
219,684983,LMouseButton,1,614,627,
220,686060,LMouseButton,1,626,574,
221,687136,LMouseButton,1,637,672,
222,690207,LMouseButton,1,738,522,
223,690805,LMouseButton,1,748,522,
224,692689,LMouseButton,1,725,618,
225,695241,LMouseButton,1,772,693,
226,699498,LMouseButton,1,818,781,
227,702698,LMouseButton,1,781,696,
228,704363,LMouseButton,1,642,283,
229,712738,LMouseButton,1,810,839,
230,713904,LMouseButton,1,726,674,
231,717942,LMouseButton,1,781,593,
232,718850,LMouseButton,1,783,597,
233,721152,LMouseButton,1,782,751,
234,726535,LMouseButton,1,759,659,
235,729984,LMouseButton,1,829,572,
236,733673,LMouseButton,1,760,661,
237,755406,LMouseButton,1,893,789,
238,762086,LMouseButton,1,989,790,
239,763821,LMouseButton,1,982,760,
240,764170,LMouseButton,1,975,741,
241,766453,LMouseButton,1,918,701,
242,770560,LMouseButton,1,806,663,
243,770979,LMouseButton,1,810,673,
244,771836,LMouseButton,1,856,742,
245,772185,LMouseButton,1,862,742,
246,772962,LMouseButton,1,861,741,
247,774248,LMouseButton,1,792,752,
248,774767,LMouseButton,1,792,752,
249,776192,LMouseButton,1,750,777,
250,777419,LMouseButton,1,730,686,
251,777857,LMouseButton,1,727,681,
252,780230,LMouseButton,1,753,773,
253,782403,LMouseButton,1,840,799,
254,783485,LMouseButton,1,814,718,
255,784028,LMouseButton,1,814,718,
256,789880,LMouseButton,1,871,786,
257,790299,LMouseButton,1,871,784,
258,791366,LMouseButton,1,794,803,
259,791984,LMouseButton,1,789,791,
260,796891,LMouseButton,1,697,823,
261,801315,LMouseButton,1,764,899,
262,802192,LMouseButton,1,767,899,
263,803448,LMouseButton,1,698,824,
