1168	58	766	494	0.823	0.353	800.753	3.532	0	818	420	0.600	0.345	794.596	3.221	0
1187	59	812	494	0.824	0.353	800.753	3.549	0	818	401	0.600	0.345	794.596	3.176	0
1207	60	784	467	0.824	0.353	800.753	3.452	0	805	436	0.600	0.344	794.596	3.252	0
1227	61	807	485	0.823	0.353	802.859	3.531	0	801	426	0.599	0.344	795.995	3.252	0
1247	62	815	479	0.823	0.353	802.859	3.507	0	794	420	0.599	0.345	795.995	3.249	0
1267	63	790	456	0.824	0.353	802.859	3.556	0	799	405	0.600	0.345	795.995	3.277	0
1287	64	786	488	0.824	0.353	802.859	3.509	0	801	408	0.600	0.345	795.995	3.193	0
1307	65	802	524	0.824	0.353	802.859	3.559	0	790	445	0.600	0.345	795.995	3.249	0
1327	66	803	525	0.823	0.354	802.097	3.541	0	788	441	0.599	0.345	795.737	3.240	0
1347	67	762	484	0.823	0.353	802.097	3.570	0	793	440	0.599	0.345	795.737	3.309	0
1367	68	799	481	0.824	0.353	802.097	3.461	0	814	437	0.600	0.345	795.737	3.323	0
1387	69	773	453	0.824	0.353	802.097	3.475	0	825	402	0.600	0.345	795.737	3.313	0
1407	70	778	464	0.824	0.353	802.097	3.596	0	782	465	0.600	0.345	795.737	3.450	0
1427	71	780	450	0.823	0.353	804.929	3.560	0	775	460	0.599	0.345	793.973	3.459	0
1447	72	807	528	0.823	0.353	804.929	3.690	0	816	437	0.599	0.345	793.973	3.300	0
1467	73	780	438	0.824	0.353	804.929	3.580	0	822	433	0.600	0.345	793.973	3.287	0
1487	74	817	451	0.824	0.353	804.929	3.576	0	807	402	0.600	0.345	793.973	3.316	0
1506	75	783	446	0.824	0.353	804.929	3.559	0	816	457	0.600	0.344	793.973	3.399	0
1526	76	795	450	0.823	0.353	806.396	3.557	0	809	446	0.599	0.344	795.439	3.415	0
1546	77	820	445	0.823	0.353	806.396	3.433	0	816	413	0.599	0.345	795.439	3.306	0
1566	78	813	437	0.823	0.353	806.396	3.454	0	797	435	0.599	0.345	795.439	3.312	0
1586	79	787	445	0.823	0.353	806.396	3.467	0	782	446	0.599	0.345	795.439	3.304	0
1606	80	810	450	0.823	0.353	806.396	3.477	0	807	447	0.598	0.344	795.439	3.269	0
